"108年06月27日 信用交易統計"
"項目","買進","賣出","現金(券)償還","前日餘額","今日餘額",
"融資(交易單位)","187,901","218,715","3,472","7,155,252","7,120,966",
"融券(交易單位)","16,831","24,723","1,854","450,785","456,823",
"融資金額(仟元)","4,422,124","4,855,295","72,792","123,032,151","122,526,188",
"108年06月27日 融資融券彙總 (全部)"
,,"融資",,,,,,"融券",,,,,,,,
"股票代號","股票名稱","買進","賣出","現金償還","前日餘額","今日餘額","限額","買進","賣出","現券償還","前日餘額","今日餘額","限額","資券互抵","註記",
"1442","名軒","4","6","0","1,096","1,094","75,529","0","0","0","0","0","75,529","0","",
"1443","立益","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1444","力麗","458","936","1","13,752","13,273","239,325","0","0","0","0","0","239,325","0","",
"1445","大宇","2","0","0","5,264","5,266","33,166","0","0","0","0","0","33,166","0","",
"1446","宏和","15","4","0","4,286","4,297","34,427","0","0","0","37","37","34,427","0","",
"1447","力鵬","47","124","3","9,761","9,681","228,621","0","0","0","0","0","228,621","0","",
"1449","佳和","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1451","年興","0","0","1","260","259","49,500","0","0","0","0","0","49,500","0","X",
"1452","宏益","52","20","0","1,043","1,075","33,160","0","0","0","0","0","33,160","0","X",
"1453","大將","18","0","0","1,023","1,041","22,418","0","0","0","0","0","22,418","0","",
"1454","台富","0","1","0","2,912","2,911","33,577","0","0","0","0","0","33,577","0","",
"1455","集盛","25","164","2","15,855","15,714","152,940","0","0","0","1","1","152,940","2","",
"1456","怡華","10","1","0","818","827","23,430","1","0","0","1","0","23,430","0","",
"1457","宜進","52","46","0","3,579","3,585","75,411","0","0","0","0","0","75,411","0","",
"1459","聯發","0","1","0","2,286","2,285","0","0","0","0","0","0","0","0","OX",
"1460","宏遠","44","17","0","5,327","5,354","124,959","0","0","0","0","0","124,959","0","",
"1463","強盛","50","28","0","1,606","1,628","43,317","0","0","0","0","0","43,317","0","",
"1464","得力","265","263","0","2,913","2,915","83,641","6","35","0","47","76","83,641","0","",
"1465","偉全","10","11","0","7,267","7,266","25,901","0","0","0","0","0","25,901","0","",
"1466","聚隆","0","17","0","149","132","27,789","0","0","0","0","0","27,789","0","",
"1467","南緯","88","42","1","9,181","9,226","42,052","0","0","0","0","0","42,052","0","",
"1468","昶和","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1470","大統新創","0","0","0","1","1","21,441","0","0","0","0","0","21,441","0","",
"1471","首利","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1472","三洋紡","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1473","台南","44","14","0","549","579","36,788","2","1","0","71","70","36,788","0","",
"1474","弘裕","2","3","0","551","550","32,474","0","0","0","0","0","32,474","0","",
"1475","本盟","0","0","0","22","22","0","0","0","0","0","0","0","0","OX",
"1476","儒鴻","54","17","0","1,308","1,345","68,591","6","34","0","31","59","68,591","1","",
"1477","聚陽","126","22","0","682","786","52,346","9","3","0","49","43","52,346","9","",
"1503","士電","2","13","0","454","443","130,243","0","0","0","13","13","130,243","0","",
"1504","東元","96","136","4","9,548","9,504","491,923","11","0","0","11","0","491,923","0","X",
"1506","正道","0","17","34","15,927","15,876","0","0","0","0","0","0","0","0","OX",
"1507","永大","0","0","0","255","255","102,705","0","0","0","2","2","102,705","0","",
"1512","瑞利","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1513","中興電","44","55","5","3,955","3,939","105,000","0","0","0","2","2","105,000","0","",
"1514","亞力","87","35","0","10,782","10,834","50,266","0","0","0","21","21","50,266","0","",
"1515","力山","291","225","2","5,986","6,050","45,368","0","534","0","0","534","45,368","64","",
"1516","川飛","0","0","0","2,592","2,592","7,973","0","0","0","0","0","7,973","0","",
"1517","利奇","0","8","0","1,764","1,756","56,956","0","0","0","0","0","56,956","0","",
"1519","華城","98","48","0","5,088","5,138","65,264","5","6","0","81","82","65,264","0","",
"1521","大億","0","10","1","83","72","19,057","0","0","0","0","0","19,057","0","X",
"1522","堤維西","16","46","3","5,507","5,474","78,224","0","1","0","13","14","78,224","0","",
"1524","耿鼎","6","40","0","4,357","4,323","44,921","0","0","0","0","0","44,921","0","",
"1525","江申","14","2","0","1,296","1,308","18,350","0","0","0","0","0","18,350","0","",
"1526","日馳","50","26","0","4,468","4,492","15,000","5","0","0","83","78","15,000","0","",
"1527","鑽全","72","117","1","2,961","2,915","34,490","1","2","0","37","38","34,490","1","",
"1528","恩德","36","52","8","9,310","9,286","49,832","20","0","0","20","0","49,832","10","",
"1529","樂士","0","1","0","59","58","4,391","0","0","0","0","0","4,391","0","X",
"1530","亞崴","0","0","1","500","499","24,148","0","0","0","0","0","24,148","0","",
"1531","高林股","7","0","0","1,469","1,476","46,252","0","0","0","7","7","46,252","0","",
"1532","勤美","17","54","0","4,914","4,877","96,313","0","4","0","50","54","96,313","0","",
"1533","車王電","5","4","0","1,152","1,153","24,636","0","0","0","1","1","24,636","0","",
"1535","中宇","0","1","0","160","159","30,935","0","0","0","1","1","30,935","0","",
"1536","和大","108","306","1","5,264","5,065","63,739","64","0","39","183","80","63,739","4","X",
"1537","廣隆","8","21","1","467","453","20,446","0","0","0","0","0","20,446","0","",
"1538","正峰新","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1539","巨庭","42","32","0","2,075","2,085","16,342","0","0","0","0","0","16,342","0","",
"1540","喬福","50","75","0","1,510","1,485","21,368","0","1","0","21","22","21,368","0","",
"1541","錩泰","93","108","0","639","624","19,700","1","2","0","24","25","19,700","3","",
"1558","伸興","0","4","1","213","208","15,133","0","0","0","0","0","15,133","0","X",
"1560","中砂","3","65","2","1,563","1,499","35,250","30","0","0","30","0","35,250","0","X",
"1568","倉佑","12","17","0","1,450","1,445","25,771","0","0","0","4","4","25,771","0","X",
"1582","信錦","40","21","2","1,362","1,379","30,931","4","0","0","5","1","30,931","0","",
"1583","程泰","0","0","0","211","211","27,600","0","0","0","0","0","27,600","0","",
"1587","吉茂","3","1","0","101","103","16,508","0","0","0","0","0","16,508","0","",
"1589","永冠-KY","50","50","12","4,105","4,093","26,404","10","1","0","432","423","26,404","0","",
"1590","亞德客-KY","116","97","0","1,318","1,337","47,256","6","5","0","168","167","47,256","2","",
"1592","英瑞-KY","21","19","0","2,336","2,338","24,744","0","7","0","21","28","24,744","0","",
"1598","岱宇","163","253","0","9,289","9,199","23,237","2","7","12","134","127","23,237","0","",
"1604","聲寶","27","89","0","2,391","2,329","96,800","20","0","0","258","238","96,800","0","",
"1605","華新","1,190","134","1","48,172","49,227","831,500","43","1","0","222","180","831,500","1","",
"1608","華榮","37","22","0","7,031","7,046","158,193","1","0","0","43","42","158,193","0","",
"1609","大亞","54","237","0","28,671","28,488","143,045","0","2","0","138","140","143,045","0","",
"1611","中電","17","0","0","3,973","3,990","99,609","5","0","0","6","1","99,609","0","",
"1612","宏泰","0","7","0","2,240","2,233","79,020","0","0","0","1","1","79,020","0","",
"1614","三洋電","2","26","0","1,205","1,181","67,278","1","0","0","14","13","67,278","0","",
"1615","大山","1","0","0","687","688","27,965","0","0","0","0","0","27,965","0","",
"1616","億泰","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1617","榮星","2","0","0","216","218","36,058","0","0","0","0","0","36,058","0","",
"1618","合機","77","98","0","12,008","11,987","60,216","0","0","0","3","3","60,216","0","",
"1626","艾美特-KY","26","4","0","6,218","6,240","30,710","0","0","0","187","187","30,710","0","",
"1701","中化","2","1","0","3,963","3,964","74,520","0","0","0","0","0","74,520","0","",
"1702","南僑","13","22","1","588","578","73,533","0","2","0","3","5","73,533","1","",
"1707","葡萄王","72","12","0","774","834","34,071","4","4","0","9","9","34,071","0","",
"1708","東鹼","63","5","0","2,420","2,478","50,361","0","5","0","5","10","50,361","0","",
"1709","和益","0","0","0","1,340","1,340","125,530","0","0","0","0","0","125,530","0","",
"1710","東聯","43","51","0","4,946","4,938","221,425","68","0","0","305","237","221,425","0","X",
"1711","永光","10","50","0","6,118","6,078","136,938","0","0","0","2","2","136,938","0","",
"1712","興農","87","40","3","1,513","1,557","105,123","2","0","0","15","13","105,123","0","X",
"1713","國化","5","11","0","4,117","4,111","37,737","0","0","0","0","0","37,737","0","",
"1714","和桐","48","30","0","15,950","15,968","254,206","0","0","0","83","83","254,206","1","",
"1717","長興","1","2","0","1,307","1,306","310,069","0","0","0","1","1","310,069","0","",
"1718","中纖","131","165","1","33,584","33,549","380,602","0","0","0","841","841","380,602","1","",
"1720","生達","0","1","0","1,098","1,097","44,674","0","0","0","0","0","44,674","0","",
"1721","三晃","0","0","0","6,463","6,463","49,949","0","0","0","0","0","49,949","0","",
"1722","台肥","109","188","1","9,484","9,404","245,000","4","3","0","52","51","245,000","0","",
"1723","中碳","3","1","1","356","357","59,226","0","0","0","0","0","59,226","0","",
"1724","台硝","1","6","0","580","575","31,953","0","0","0","0","0","31,953","0","",
"1725","元禎","0","2","0","180","178","45,457","0","0","0","0","0","45,457","0","",
