"108年06月27日 信用交易統計"
"項目","買進","賣出","現金(券)償還","前日餘額","今日餘額",
"融資(交易單位)","187,901","218,715","3,472","7,155,252","7,120,966",
"融券(交易單位)","16,831","24,723","1,854","450,785","456,823",
"融資金額(仟元)","4,422,124","4,855,295","72,792","123,032,151","122,526,188",
"108年06月27日 融資融券彙總 (全部)"
,,"融資",,,,,,"融券",,,,,,,,
"股票代號","股票名稱","買進","賣出","現金償還","前日餘額","今日餘額","限額","買進","賣出","現券償還","前日餘額","今日餘額","限額","資券互抵","註記",
"6405","悅城","3","1","0","1,912","1,914","16,450","0","0","0","0","0","16,450","0","X",
"6409","旭隼","1","0","0","22","23","19,671","0","0","0","0","0","19,671","0","",
"6412","群電","2","21","2","564","543","96,678","0","0","0","0","0","96,678","0","",
"6414","樺漢","115","55","2","2,656","2,714","20,893","6","2","0","184","180","20,893","0","",
"6415","矽力-KY","26","35","0","93","84","22,587","1","4","0","9","12","22,587","0","",
"6416","瑞祺電通","9","10","1","1,045","1,043","17,008","0","0","0","11","11","17,008","0","",
"6431","光麗-KY","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"6442","光聖","1","0","0","2,523","2,524","16,500","0","0","0","0","0","16,500","0","",
"6449","鈺邦","1","6","1","3,181","3,175","21,110","3","0","0","7","4","21,110","0","",
"6451","訊芯-KY","207","188","0","4,669","4,688","26,361","10","6","0","164","160","26,361","6","",
"6452","康友-KY","17","47","0","7,713","7,683","19,500","1","1","0","18","18","19,500","0","",
"6456","GIS-KY","247","178","7","20,409","20,471","84,859","37","22","0","237","222","84,859","0","",
"6464","台數科","0","0","0","3","3","30,860","0","0","0","0","0","30,860","0","",
"6477","安集","34","9","0","4,987","5,012","23,614","0","0","0","0","0","23,614","0","",
"6504","南六","2","0","0","181","183","18,150","0","0","0","0","0","18,150","0","",
"6505","台塑化","48","24","0","904","928","2,381,489","0","17","0","133","150","2,381,489","0","",
"6525","捷敏-KY","23","45","3","2,877","2,852","29,328","0","0","0","8","8","29,328","0","",
"6531","愛普","5","25","0","1,511","1,491","18,834","3","0","0","63","60","18,834","0","",
"6533","晶心科","364","269","0","3,225","3,320","10,662","28","30","0","320","322","10,662","5","",
"6541","泰福-KY","69","23","1","1,776","1,821","60,993","0","0","1","42","41","60,993","0","",
"6552","易華電","865","759","0","7,622","7,728","25,000","63","63","0","1,566","1,566","25,000","15","",
"6573","虹揚-KY","4","2","0","583","585","16,463","0","0","0","3","3","16,463","0","",
"6579","研揚","25","1","1","332","355","37,124","0","0","0","0","0","37,124","0","X",
"6581","鋼聯","1","3","0","88","86","27,817","0","0","0","0","0","27,817","0","",
"6582","申豐","0","0","1","91","90","26,219","0","0","0","0","0","26,219","0","",
"6591","動力-KY","22","22","0","1,804","1,804","6,561","1","0","8","30","21","6,561","0","",
"6605","帝寶","2","4","0","609","607","41,454","0","0","0","0","0","41,454","0","",
"6625","必應","15","1","0","156","170","8,872","0","0","0","0","0","8,872","0","",
"6641","基士德-KY","0","0","0","72","72","8,500","0","0","0","0","0","8,500","0","",
"6655","科定","0","0","0","9","9","16,652","0","0","0","0","0","16,652","0","X",
"6666","羅麗芬-KY","14","5","0","244","253","10,770","0","0","0","0","0","10,770","0","",
"6668","中揚光","72","48","1","265","288","17,104","0","0","0","2","2","17,104","2","",
"6670","復盛應用","129","0","0","0","129","32,757","0","0","0","0","0","32,757","0","",
"6671","三能-KY","0","0","0","14","14","15,187","0","0","0","0","0","15,187","0","",
"6674","鋐寶科技","4","0","0","55","59","16,704","0","0","0","0","0","16,704","0","",
"8011","台通","29","5","0","5,478","5,502","29,655","12","32","0","380","400","29,655","0","",
"8016","矽創","684","335","0","4,588","4,937","30,055","37","16","0","514","493","30,055","2","",
"8021","尖點","8","4","3","3,043","3,044","35,545","2","0","0","2","0","35,545","0","",
"8028","昇陽半導體","39","25","0","3,390","3,404","33,102","0","0","0","12","12","33,102","0","",
"8033","雷虎","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"8039","台虹","140","230","11","3,799","3,698","52,279","0","0","0","0","0","52,279","0","X",
"8046","南電","2,065","1,397","1","16,529","17,196","161,541","385","329","30","2,299","2,213","161,541","31","",
"8070","長華","4","14","12","1,246","1,224","15,969","0","5","0","0","5","15,969","0","",
"8072","陞泰","2","0","0","575","577","20,000","0","0","0","0","0","20,000","0","",
"8081","致新","256","104","3","2,407","2,556","21,543","1","2","0","105","106","21,543","0","",
"8101","華冠","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"8103","瀚荃","17","7","0","1,442","1,452","20,349","0","0","0","0","0","20,349","0","",
"8105","凌巨","354","244","0","11,088","11,198","72,140","0","5","0","422","427","72,140","6","",
"8110","華東","102","83","4","9,674","9,689","126,595","0","0","0","24","24","126,595","0","",
"8112","至上","78","100","1","11,731","11,708","94,624","2","0","0","45","43","94,624","2","",
"8114","振樺電","4","0","1","586","589","18,730","0","0","0","0","0","18,730","0","",
"8131","福懋科","9","34","1","1,231","1,205","110,555","0","0","0","0","0","110,555","0","",
"8150","南茂","140","188","0","12,042","11,994","185,021","3","34","0","138","169","185,021","0","",
"8163","達方","127","228","2","11,334","11,231","70,000","10","0","0","53","43","70,000","0","",
"8201","無敵","28","3","0","1,811","1,836","15,591","0","0","0","0","0","15,591","0","",
"8210","勤誠","27","36","2","1,781","1,770","29,931","0","0","0","26","26","29,931","0","",
"8213","志超","325","131","4","7,787","7,977","67,810","42","15","17","732","688","67,810","0","",
"8215","明基材","99","93","0","9,544","9,550","80,168","3","1","0","365","363","80,168","7","",
"8222","寶一","4","3","0","1,690","1,691","17,136","0","0","0","6","6","17,136","0","",
"8249","菱光","86","0","0","1,676","1,762","31,763","0","0","0","0","0","31,763","0","",
"8261","富鼎","9","38","2","4,120","4,089","20,335","0","0","0","71","71","20,335","0","",
"8271","宇瞻","36","146","2","1,147","1,035","25,224","0","21","0","0","21","25,224","0","",
"8341","日友","22","45","0","1,795","1,772","27,875","7","0","0","8","1","27,875","0","X",
"8367","建新國際","1","0","0","112","113","20,282","0","0","0","2","2","20,282","0","",
"8374","羅昇","58","39","3","2,395","2,411","22,306","0","0","0","1","1","22,306","0","",
"8404","百和興業-KY","137","140","0","4,495","4,492","72,957","4","7","0","44","47","72,957","0","",
"8411","福貞-KY","6","0","0","1,188","1,194","43,849","0","0","0","0","0","43,849","0","",
"8422","可寧衛","85","75","1","616","625","27,222","0","0","0","0","0","27,222","0","",
"8427","基勝-KY","0","1","0","363","362","26,065","0","0","0","0","0","26,065","0","",
"8429","金麗-KY","61","16","0","7,910","7,955","45,660","0","0","0","5","5","45,660","0","",
"8442","威宏-KY","0","0","0","95","95","12,499","0","0","0","0","0","12,499","0","",
"8443","阿瘦","0","0","0","305","305","16,700","0","0","0","0","0","16,700","0","",
"8454","富邦媒","0","1","0","191","190","35,014","0","1","0","6","7","35,014","0","",
"8462","柏文","37","29","0","924","932","15,475","4","1","0","51","48","15,475","1","",
"8463","潤泰材","2","0","0","1,031","1,033","37,500","0","0","0","0","0","37,500","0","X",
"8464","億豐","25","27","0","516","514","73,255","0","0","0","8","8","73,255","0","",
"8466","美吉吉-KY","4","0","1","890","893","16,514","0","0","0","2","2","16,514","0","",
"8467","波力-KY","0","0","0","226","226","12,715","4","0","0","4","0","12,715","0","X",
"8473","山林水","1","4","0","646","643","34,453","0","0","0","7","7","34,453","0","",
"8478","東哥遊艇","0","3","0","270","267","22,734","0","0","0","1","1","22,734","0","",
"8480","泰昇-KY","0","0","0","34","34","9,817","0","0","0","0","0","9,817","0","",
"8481","政伸","0","0","0","55","55","16,650","0","0","0","0","0","16,650","0","",
"8482","商億-KY","45","24","0","2,241","2,262","27,778","0","0","0","0","0","27,778","0","",
"8488","吉源-KY","0","1","0","175","174","16,875","0","0","0","0","0","16,875","0","",
"8497","格威傳媒","1","5","0","177","173","9,135","0","0","0","0","0","9,135","0","",
"8499","鼎炫-KY","1","3","0","1,084","1,082","12,821","0","0","0","1","1","12,821","0","",
"8926","台汽電","24","14","0","1,465","1,475","147,262","0","0","0","1","1","147,262","0","",
"8940","新天地","0","0","0","766","766","16,872","0","0","0","2","2","16,872","0","",
"8996","高力","41","5","0","3,459","3,495","22,346","0","0","0","1","1","22,346","0","",
"9103","美德醫療-DR","0","0","0","880","880","51,382","0","0","0","1","1","51,382","0","",
"910322","康師傅-DR","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"910482","聖馬丁-DR","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"9105","泰金寶-DR","304","156","0","8,946","9,094","209,821","0","0","0","7","7","209,821","1","",
"910861","神州-DR","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"911616","杜康-DR","38","10","0","4,448","4,476","32,500","0","0","0","0","0","32,500","0","",
"911619","耀傑-DR","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"911868","同方友友-DR","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"912000","晨訊科-DR","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"912398","友佳-DR","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"9136","巨騰-DR","124","67","0","8,374","8,431","38,083","0","0","0","340","340","38,083","0","",
"9157","陽光能源-DR","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"9188","精熙-DR","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"9802","鈺齊-KY","29","26","1","1,975","1,977","39,957","10","1","0","100","91","39,957","0","",
"9902","台火","10","0","0","2,353","2,363","24,512","0","0","0","0","0","24,512","0","",
"9904","寶成","205","112","4","2,953","3,042","736,696","3","8","0","49","54","736,696","7","",
"9905","大華","0","0","0","38","38","76,250","0","0","0","0","0","76,250","0","",
"9906","欣巴巴","14","14","32","1,050","1,018","20,835","0","0","0","0","0","20,835","0","",
"9907","統一實","19","77","5","3,595","3,532","394,786","0","0","0","7","7","394,786","0","",
"9908","大台北","0","0","0","103","103","129,089","0","0","0","0","0","129,089","0","",
"9910","豐泰","13","33","0","483","463","166,985","2","15","0","58","71","166,985","1","",
"9911","櫻花","26","34","0","1,123","1,115","55,280","0","0","0","4","4","55,280","0","",
"9912","偉聯","5","42","0","2,454","2,417","13,589","0","0","0","3","3","13,589","0","",
"9914","美利達","32","27","0","608","613","74,745","1","0","0","61","60","74,745","0","",
"9917","中保","0","1","1","5","3","112,799","0","0","0","0","0","112,799","0","",
"9918","欣天然","0","0","0","16","16","45,134","0","0","0","0","0","45,134","0","",
"9919","康那香","5","18","0","1,169","1,156","48,843","0","0","0","0","0","48,843","0","",
"9921","巨大","51","79","0","358","330","93,766","0","12","0","39","51","93,766","1","",
"9924","福興","19","27","1","953","944","47,113","0","0","0","3","3","47,113","0","",
"9925","新保","0","0","1","11","10","95,913","0","0","0","1","1","95,913","0","",
"9926","新海","0","0","0","0","0","44,876","0","0","0","0","0","44,876","0","",
"9927","泰銘","0","0","0","238","238","52,287","0","0","0","0","0","52,287","0","",
"9928","中視","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"9929","秋雨","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"9930","中聯資源","0","0","0","44","44","62,135","0","0","0","0","0","62,135","0","",
"9931","欣高","0","0","0","8","8","25,562","0","0","0","0","0","25,562","0","X",
"9933","中鼎","0","1","1","716","714","190,818","0","0","0","10","10","190,818","0","",
"9934","成霖","195","10","0","4,614","4,799","89,059","0","0","0","0","0","89,059","0","X",
"9935","慶豐富","1,177","488","0","3,592","4,281","29,372","9","6","0","30","27","29,372","3","",
"9937","全國","0","0","0","152","152","77,260","0","0","0","0","0","77,260","0","",
"9938","百和","326","270","0","4,999","5,055","74,490","97","22","1","631","555","74,490","7","",
"9939","宏全","96","126","0","1,608","1,578","73,219","0","0","0","3","3","73,219","0","",
"9940","信義","3","0","0","641","644","184,211","0","0","0","4","4","184,211","0","",
"9941","裕融","14","3","2","1,062","1,071","68,657","0","0","0","0","0","68,657","0","",
"9942","茂順","1","0","2","427","426","20,790","0","0","0","0","0","20,790","0","",
"9943","好樂迪","1","11","0","160","150","36,829","0","0","0","0","0","36,829","0","",
"9944","新麗","22","15","0","6,480","6,487","27,276","0","0","0","24","24","27,276","0","",
"9945","潤泰新","182","155","2","9,921","9,946","250,813","30","2","0","47","19","250,813","0","",
"9946","三發地產","68","238","0","6,604","6,434","70,285","1","5","0","399","403","70,285","0","",
"9955","佳龍","714","466","0","3,786","4,034","25,802","25","219","0","1,813","2,007","25,802","29","",
"9958","世紀鋼","124","241","17","19,913","19,779","52,335","69","23","0","1,438","1,392","52,335","0","",
"備註:"
"備註欄係表明成交日次一營業日股票融資融券狀況",
"符號說明： O：停止融資, X：停止融券, @：融資分配, %：融券分配",
"限額：　融資餘額達該種股票上市股份25%時，暫停融資買進。　融券餘額達該種股票上市股份25%時，暫停融券賣出。",
"融資、融券餘額達限額之八成時，次一營業日進行額度分配。",
"得為融資融券之證券於停止買賣期間，本報表停止揭露該證券信用交易資訊，待恢復交易日時再行揭露，並參考該證券之融資融券餘額，調整當日報表『前日餘額』之統計數字；至有價證券停止、恢復交易相關訊息，請參閱本公司MIS即時公告。減資停止買賣證券融資餘額資訊（不含因合併、終止上市等其他原因之停止買賣資料）",

